player_name,team_initials,match_id,line_up,event,position,shirt_number
BOYATA DEDRYCK,BEL,58,,,,
KOMPANY VINCENT,BEL,58,,,,
FELLAINI MAROUANE,BEL,58,,,,
CHADLI NACER,BEL,58,,,,
VERTONGHEN JAN,BEL,58,,,,
CASTEELS KOEN,BEL,58,,,GK,
MIGNOLET SIMON,BEL,58,,,GK,
MEUNIER THOMAS,BEL,58,,,,
COURTOIS THIBAUT,BEL,58,,,GK,
LUKAKU ROMELU,BEL,58,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
FRED,BRA,24,,,,
TAISON,BRA,24,,,,
FERNANDINHO,BRA,24,,,,
FAGNER,BRA,24,,,,
NEYMAR,BRA,24,,G97',,
PHILIPPE COUTINHO,BRA,24,,G91',,
DOUGLAS COSTA,BRA,24,,,,
FILIPE LUIS,BRA,24,,,,
GABRIEL JESUS,BRA,24,,,,
MARQUINHOS,BRA,24,,,,
ROBERTO FIRMINO,BRA,24,,,,
WILLIAN,BRA,24,,,,
MIRANDA,BRA,24,,,,
DANILO,BRA,24,,,,
THIAGO SILVA,BRA,24,,,,
MARCELO,BRA,24,,,,
PAULINHO,BRA,24,,,,
PEDRO GEROMEL,BRA,24,,,,
CASEMIRO,BRA,24,,,,
RENATO AUGUSTO,BRA,24,,,,
EDERSON,BRA,24,,,GK,
ALISSON,BRA,24,,,GK,
CASSIO,BRA,24,,,GK,
BOLANOS CHRISTIAN,CRC,24,,,,
GAMBOA CRISTIAN,CRC,24,,,,
TEJEDA YELTSIN,CRC,24,,,,
SMITH IAN,CRC,24,,,,
OVIEDO BRYAN,CRC,24,,,,
WALLACE RODNEY,CRC,24,,,,
URENA MARCOS,CRC,24,,,,
MATARRITA RONALD,CRC,24,,,,
MOREIRA LEONEL,CRC,24,,,GK,
CAMPBELL JOEL,CRC,24,,,,
PEMBERTON PATRICK,CRC,24,,,GK,
RUIZ BRYAN,CRC,24,,,,
ACOSTA JOHNNY,CRC,24,,,,
COLINDRES DANIEL,CRC,24,,,,
VENEGAS JOHAN,CRC,24,,,,
GONZALEZ GIANCARLO,CRC,24,,,,
CALVO FRANCISCO,CRC,24,,,,
GUZMAN DAVID,CRC,24,,,,
BORGES CELSO,CRC,24,,,,
NAVAS KEYLOR,CRC,24,,,GK,
DUARTE OSCAR,CRC,24,,,,
AZOFEIFA RANDALL,CRC,24,,,,
WASTON KENDALL,CRC,24,,,,
